customer_id,order_date,order_value,order_qty_articles
12592,2011-05-10,231.8,165
12399,2011-05-10,480.9,494
12684,2011-05-10,489.1,460
12712,2011-05-10,565.25,148
16672,2011-05-10,-26.1,-18
12901,2011-05-10,-208.8,-1200
16320,2011-05-10,852.68,654
14462,2011-05-10,251.29,127
14680,2011-05-10,2944.7,1558
14688,2011-05-10,340.05,199
14505,2011-05-10,647.76,222
17581,2011-05-10,1354.58,532
13320,2011-05-10,508.61,426
12843,2011-05-10,319.51,152
18242,2011-05-10,314.26,118
13695,2011-05-10,54.6,20
15756,2011-05-10,125.53,61
16791,2011-05-10,168.87,64
13767,2011-05-10,424.1,206
14051,2011-05-10,632.2,228
16357,2011-05-10,137.9,22
13055,2011-05-10,344.86,252
13487,2011-05-10,215.65,128
14587,2011-05-10,192.23,80
17841,2011-05-10,179.11,124
16710,2011-05-10,324.76,142
17700,2011-05-10,522.96,180
13881,2011-05-10,1560.34,1006
14766,2011-05-10,357.15,203
15615,2011-05-10,521.49,279
16525,2011-05-10,124.28,356
16431,2011-05-10,298.88,249
13242,2011-05-10,104,50
14534,2011-05-10,221.15,80
14591,2011-05-10,250.22,105
17315,2011-05-10,111.03,146
14849,2011-05-10,562.54,387
14209,2011-05-10,314.6,154
13098,2011-05-10,1051.06,582
15311,2011-05-10,2764.29,2023
15865,2011-05-10,313.93,178
15134,2011-05-10,129.35,113
12749,2011-05-10,859.1,262
14397,2011-05-10,165.44,184
16676,2011-05-10,304.44,74
14078,2011-05-10,111.29,33
15433,2011-05-10,160.66,118
18041,2011-05-10,256.16,172
13742,2011-05-10,298.43,89
17504,2011-05-10,-251.75,-208
16841,2011-05-10,319.12,232
16306,2011-05-10,37.8,22
16696,2011-05-10,404.7,90
13592,2011-05-10,95.94,38
16210,2011-05-10,302.28,140
12971,2011-05-10,77.2,28
12886,2011-05-10,-27.31,-9
12748,2011-05-10,21.6,36
13692,2011-05-10,14.95,1
13012,2011-05-10,16.5,2
15381,2011-05-10,314.55,9
14646,2011-05-11,824.4,279
12372,2011-05-11,515.7,368
12649,2011-05-11,375,204
15521,2011-05-11,687.09,446
12921,2011-05-11,330.16,152
17770,2011-05-11,102.3,14
13098,2011-05-11,1948.56,1013
15615,2011-05-11,396.77,159
14367,2011-05-11,847.74,301
16029,2011-05-11,1262.4,480
18144,2011-05-11,288.7,178
17664,2011-05-11,326.19,409
16143,2011-05-11,361.32,152
14649,2011-05-11,584.22,350
13136,2011-05-11,574.46,276
13662,2011-05-11,305.24,188
16229,2011-05-11,358.2,92
14731,2011-05-11,127.66,86
16837,2011-05-11,519.6,260
18118,2011-05-11,248.02,95
13013,2011-05-11,194.63,77
16652,2011-05-11,1440.96,688
16241,2011-05-11,166.66,88
16644,2011-05-11,722.41,751
17677,2011-05-11,1815.28,996
14277,2011-05-11,1637.43,859
14573,2011-05-11,311.11,160
13418,2011-05-11,951.92,394
14056,2011-05-11,508.63,312
15079,2011-05-11,386.37,109
17634,2011-05-11,237.05,71
13069,2011-05-11,123.52,258
14748,2011-05-11,300.71,279
17428,2011-05-11,2111.66,1495
14691,2011-05-11,439.6,162
15296,2011-05-11,578.48,362
17164,2011-05-11,316.09,175
12901,2011-05-11,176.28,188
16712,2011-05-11,482.59,260
15187,2011-05-11,431.6,172
12748,2011-05-11,493.17,208
12731,2011-05-11,1381.3,734
17489,2011-05-11,208.56,232
15815,2011-05-11,514.08,624
15732,2011-05-11,156.02,118
16115,2011-05-11,166.94,110
17888,2011-05-11,56.65,32
12720,2011-05-11,-5.95,-7
13404,2011-05-11,217.81,99
15827,2011-05-11,-80.75,-9
17889,2011-05-11,102.02,35
13089,2011-05-11,805,316
12483,2011-05-11,8.5,2
14462,2011-05-11,-6.6,-12
17337,2011-05-12,500.9,277
13263,2011-05-12,272.94,145
12757,2011-05-12,602.83,311
13883,2011-05-12,-65.03,-48
12621,2011-05-12,1104.92,754
